City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Waipawa,NZ,-41.4122,175.5153,59.88,63,56,13.49,broken clouds
80,Lasa,IT,46.6166,10.7002,43.68,72,3,2.86,clear sky
81,Ribeira Grande,PT,38.5167,-28.7,58.03,69,98,20.02,overcast clouds
82,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
83,Coracao De Jesus,BR,-16.6853,-44.365,67.12,82,100,8.08,overcast clouds
84,Komsomolskiy,UZ,40.4272,71.7189,61.52,48,32,6.91,scattered clouds
85,Pevek,RU,69.7008,170.3133,10.94,84,29,2.15,scattered clouds
86,Norman Wells,CA,65.282,-126.8329,24.84,30,20,6.91,few clouds
87,Cidreira,BR,-30.1811,-50.2056,67.55,73,65,11.83,broken clouds
88,Kaitangata,NZ,-46.2817,169.8464,58.48,56,10,3.53,clear sky
89,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,14,9.37,light rain
90,Waseca,US,44.0777,-93.5074,33.69,93,100,9.69,light snow
91,Aklavik,CA,68.2191,-135.0107,21.02,81,99,12.08,overcast clouds
92,Seaford,GB,50.7714,0.1027,52.36,87,0,7.0,clear sky
93,Severo-Kurilsk,RU,50.6789,156.125,32.27,80,100,6.49,overcast clouds
94,Puerto Escondido,MX,15.85,-97.0667,83.23,65,0,9.22,clear sky
95,Elizabeth City,US,36.2946,-76.2511,53.62,77,0,11.5,clear sky
96,Manta,EC,-0.95,-80.7333,78.58,78,40,11.5,scattered clouds
97,Huty,UA,50.1332,35.3439,38.66,86,100,5.01,overcast clouds
98,Rio Gallegos,AR,-51.6226,-69.2181,46.45,87,100,9.22,light rain
99,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.01,94,100,7.38,light rain
100,Urumqi,CN,43.801,87.6005,63.55,9,0,4.47,clear sky
101,Constitucion,CL,-35.3333,-72.4167,51.31,94,54,7.61,broken clouds
102,Rize,TR,40.9044,40.8949,44.04,42,100,13.2,overcast clouds
103,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,11.5,light snow
104,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,63,100,9.22,overcast clouds
105,Shalinskoye,RU,55.7228,93.7594,47.44,83,100,9.78,light rain
106,Georgetown,MY,5.4112,100.3354,84.13,92,20,4.61,thunderstorm
107,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,5.75,shower rain
108,Ulaangom,MN,49.9811,92.0667,46.62,30,99,3.09,overcast clouds
109,Aksu,CN,41.1231,80.2644,55.92,17,3,5.19,clear sky
110,Saryagash,KZ,41.4511,69.1701,60.76,41,100,3.74,overcast clouds
111,Saint George,US,37.1041,-113.5841,82.63,11,0,11.5,clear sky
112,Myaundzha,RU,63.0494,147.1858,14.14,82,100,2.66,overcast clouds
113,Safaga,EG,26.7292,33.9365,76.96,49,100,4.36,overcast clouds
114,Chokurdakh,RU,70.6333,147.9167,12.7,89,44,4.79,scattered clouds
115,Chenzhou,CN,25.8,113.0333,51.51,97,100,2.19,overcast clouds
116,Port-Gentil,GA,-0.7193,8.7815,80.33,84,100,8.5,moderate rain
117,Novoagansk,RU,61.9449,76.6625,14.43,96,99,5.12,overcast clouds
118,Ous,RU,60.9058,61.5186,19.76,92,13,4.85,few clouds
119,Esperance,AU,-33.8667,121.9,62.98,59,67,7.99,broken clouds
120,Namibe,AO,-15.1961,12.1522,72.5,78,59,4.45,broken clouds
121,Baglung,NP,28.2719,83.5898,69.01,28,10,5.77,clear sky
122,Neuenhagen,DE,52.5299,13.6891,45.77,79,79,5.39,broken clouds
123,Rockport,US,28.0206,-97.0544,77.04,91,100,11.5,overcast clouds
124,Saldanha,ZA,-33.0117,17.9442,55.45,79,24,10.36,few clouds
125,Palmer,US,42.1584,-72.3287,40.6,61,20,5.75,few clouds
126,East London,ZA,-33.0153,27.9116,64.36,84,0,11.39,clear sky
127,Qaanaaq,GL,77.484,-69.3632,-19.75,73,0,5.75,clear sky
128,Luganville,VU,-15.5333,167.1667,86.18,64,34,5.39,scattered clouds
129,Laguna,US,38.421,-121.4238,73.45,29,0,11.5,clear sky
130,Dawson,US,31.7735,-84.4466,69.22,88,81,4.36,broken clouds
131,Kieta,PG,-6.2167,155.6333,82.8,75,83,2.75,light rain
132,Kashiwazaki,JP,37.3667,138.55,66.88,59,100,0.29,overcast clouds
133,Cape Town,ZA,-33.9258,18.4232,63.01,78,0,20.71,clear sky
134,Airai,TL,-8.9266,125.4092,71.89,64,100,1.63,overcast clouds
135,Faanui,PF,-16.4833,-151.75,81.07,72,5,9.17,light rain
136,Aketi,CD,2.7388,23.7833,70.57,98,100,2.19,light rain
137,Caravelas,BR,-17.7125,-39.2481,78.03,63,100,10.63,overcast clouds
138,Port Lincoln,AU,-34.7333,135.8667,62.92,64,100,8.88,overcast clouds
139,Port Alfred,ZA,-33.5906,26.891,60.19,93,6,1.99,clear sky
140,Khatanga,RU,71.9667,102.5,7.09,95,93,13.2,overcast clouds
141,Ballaghaderreen,IE,53.9,-8.5833,43.83,95,24,5.84,few clouds
